AMP 1D MA in C++  mean, sdev
size: 5 time: 0.0835 , 0.0309991
size: 10 time: 0.0696 , 0.00157762
size: 20 time: 0.0709 , 0.00237814
size: 50 time: 0.0706 , 0.00142984
size: 100 time: 0.0813 , 0.00226323
size: 200 time: 0.1341 , 0.0146246
size: 300 time: 0.2119 , 0.0213565
size: 400 time: 0.3607 , 0.00356059
size: 500 time: 0.6105 , 0.00302765
size: 600 time: 0.9733 , 0.010478
size: 700 time: 1.4677 , 0.00176698
size: 800 time: 2.1196 , 0.00195505
size: 900 time: 3.0733 , 0.00565784
size: 1000 time: 4.2672 , 0.0032249
