CUDA 1D MA in C++  mean, sdev
size: 5 time: 0.559 , 0.30632
size: 10 time: 0.479 , 0.025144
size: 20 time: 0.477 , 0.00823273
size: 50 time: 0.587 , 0.00674949
size: 100 time: 0.955 , 0.0143372
size: 200 time: 2.976 , 0.0450185
size: 300 time: 8.805 , 0.0525463
size: 400 time: 20.475 , 0.139702
size: 500 time: 38.138 , 0.0147573
size: 600 time: 63.965 , 0.0440328
size: 700 time: 100.312 , 0.0640833
size: 800 time: 147.698 , 0.0518116
size: 900 time: 208.898 , 0.211755
size: 1000 time: 286.066 , 0.0283627
