CUDA 1D MA in C++  mean, sdev
size: 5 time: 0.57 , 0.326905
size: 10 time: 0.477 , 0.0105935
size: 20 time: 0.477 , 0.00674949
size: 50 time: 0.596 , 0.00966092
size: 100 time: 0.956 , 0.0183787
size: 200 time: 2.937 , 0.0188856
size: 300 time: 8.797 , 0.0722726
size: 400 time: 20.15 , 0.0221108
size: 500 time: 37.622 , 0.107683
size: 600 time: 63.549 , 0.0515213
size: 700 time: 99.966 , 0.0573876
size: 800 time: 147.123 , 0.204508
size: 900 time: 208.739 , 0.0562633
size: 1000 time: 285.733 , 0.0518652
